,country,Infection_corr_index,Infection_p-value,Death_corr_index,Death_p-value
80,Nigeria,0.09914298415551887,0.1313159086294082,0.042964848774398344,0.5140114285692425
81,Oman,0.00794032981792967,0.9032194208964552,0.034909155369844166,0.5928287942309209
82,Pakistan,0.029849633171434915,0.643354566113608,0.011702176073296721,0.8559873072561668
83,Panama,0.02510028602847071,0.6982407090369055,-0.02199910256989048,0.7340196203515259
84,Paraguay,0.04056996782598557,0.5282179384018075,-0.032537796127962614,0.6130106482591231
85,Peru,0.03109069112504098,0.6360963997310598,0.14601967367664712,0.025503093861987708
86,Philippines,0.0466765518083072,0.4661474319950736,0.06064722883124037,0.3435154233876354
87,Poland,0.039812277788466986,0.5445215427062431,0.018585344334338515,0.7773277918105549
88,Portugal,0.05976645364638479,0.3525683098503892,0.014082554677658407,0.826760823717137
89,Qatar,0.11848591812555945,0.06462845743119054,0.009481084922850654,0.8828620100587061
90,Romania,-0.00463775117037922,0.9425443133478963,-0.0036056938887269285,0.9553149607914676
91,Russia,0.15894431995132094,0.015379523666905651,0.08314250064405451,0.2070443979394114
92,Rwanda,-0.03926645296833323,0.5440871884215104,-0.014865108767060736,0.8184170358282298
93,Senegal,0.058615927581041526,0.36898168093445094,0.01743647470961651,0.7894443721953257
94,Serbia,0.03225032792890886,0.6139705619820086,0.0038545436015970033,0.9519391282395886
95,Singapore,-0.008563429087707988,0.895887799103581,0.004398609985532034,0.9464111236055432
96,Slovakia,-0.013122654389522852,0.838401482332584,0.0008989415642689934,0.9888540646966433
97,Slovenia,-0.013106796193272742,0.8409187942736067,0.018366287835973417,0.7785000736288208
98,Somalia,0.010777922103954585,0.8680751499739507,-0.028631641352745287,0.658971057638086
99,Sudan,0.042214610494682246,0.5213937581189138,0.03596272050851685,0.5849480324445335
100,Suriname,0.005240319388473381,0.9350947223846838,0.04745840252716133,0.4605550911872127
101,Swaziland,0.024697455221846486,0.7016689479761733,0.014225073011119051,0.8253924357670643
102,Sweden,-0.039343659796762645,0.550135906086289,0.08104785559012223,0.21775602236775665
103,Switzerland,-0.04138317877336024,0.5208415411380398,0.008170584889563468,0.8991681950626154
104,Syria,-0.033567922730983274,0.6018080284628877,-0.03272782007785655,0.6109372624778021
105,Taiwan,0.003739886255939008,0.9537496998456612,0.033070315788553344,0.6079531195597603
106,Tajikistan,-0.13479615999410394,0.03852393289169876,0.012823270428311884,0.8446438858644955
